"Word","Frequency"
"('entstehen', 'tornados')",7
"('artikel', 'tornado')",5
"('schützen', 'tornado')",5
"('deutschland', 'tornados')",5
"('kommen', 'tornados')",4
"('bayern', 'tornados')",4
"('drei', 'tornados')",4
"('lang', 'tornado')",4
"('mesozyklonalen', 'tornados')",4
"('lesen', 'tornados')",3
"('eurofighter', 'tornado')",3
"('tornados', 'treten')",3
"('heftig', 'tornado')",3
"('tornados', 'usa')",3
"('tornado', 'windhose')",3
"('tornados', 'windhosen')",3
"('tornados', 'zehn')",3
"('entstehung', 'tornados')",3
"('land', 'tornados')",3
"('reihe', 'tornados')",2
"('süden', 'tornado')",2
"('geben', 'tornados')",2
"('behörde', 'tornado')",2
"('bundesstaat', 'tornado')",2
"('berichte', 'tornados')",2
"('alternde', 'tornado-flotte')",2
"('tornado-nachfolge', 'warum')",2
"('gehören', 'tornados')",2
"('jährlich', 'tornados')",2
"('nachgewiesen', 'tornados')",2
"('tornados', 'wetterdienst')",2
"('großer', 'tornados')",2
"('sirenen', 'tornados')",2
"('kleinräumig', 'tornadoerkennung')",2
"('echte', 'tornadoerkennung')",2
"('erkennt', 'tornado')",2
"('tornado', 'tornado')",2
"('lässt', 'tornado')",2
"('hinterließ', 'tornado')",2
"('schneise', 'tornados')",2
"('tornados', 'ursache')",2
"('gleich', 'tornado')",2
"('rauskommen', 'tornado')",2
"('br24-redaktion', 'tornados')",2
"('amberger', 'tornados')",2
"('begriff', 'tornado')",2
"('kennen', 'tornado')",2
"('jahr', 'tornados')",2
"('gar', 'tornados')",2
"('dreht', 'tornado-rüssel')",2
"('tornado-rüssel', 'unbebautes')",2
"('jahren', 'tornado-sichtungen')",2
"('geworden', 'tornado-sichtungen')",2
"('aktuell', 'tornados')",2
"('deutscher', 'tornado')",2
"('paderborn', 'tornado')",2
"('tornado', 'wenige')",2
"('hurrikane', 'tornados')",2
"('italienische', 'tornado')",2
"('tornado', 'wetterphänomen')",2
"('erzeugt', 'tornado')",2
"('laut', 'tornado')",2
"('gegensatz', 'windhosen/tornados')",2
"('richten', 'windhosen/tornados')",2
"('200.', 'tornado')",2
"('tornado', 'verwüstet')",2
"('später', 'tornado')",2
"('gehandelt', 'tornado')",2
"('tornado', 'zog')",2
"('250', 'tornado')",2
"('deutlich', 'tornado')",2
"('hinweist', 'tornado')",2
"('fehlt', 'tornado')",2
"('tornado', 'weggerissen')",2
"('folgen', 'tornados')",2
"('beschäftigen', 'tornados')",2
"('herausforderungen', 'tornados')",2
"('jedoch', 'tornado')",2
"('mechanismen', 'tornadogenese')",2
"('dafür', 'tornados')",2
"('nicht-mesozyklonalen', 'tornados')",2
"('innerhalb', 'tornados')",2
"('beobachteten', 'tornados')",2
"('schwach', 'tornados')",2
"('hinaus', 'tornados')",2
"('alley', 'tornado')",2
"('tornados', 'vorhersage')",2
"('tornados', 'verletzt')",2
"('schwer', 'tornados')",2
"('sturmböen', 'tornados')",2
"('ausgelöst', 'tornados')",1
"('geschäftshäuser', 'tornados')",1
"('lagen', 'tornados')",1
"('heftigen', 'tornado')",1
"('tornadosdie', 'weiteren')",1
"('chefin', 'tornadosdie')",1
"('könnten', 'tornados')",1
"('tornados', 'windböen')",1
"('fork', 'tornado')",1
"('autos', 'tornado')",1
"('blieb', 'tornado')",1
"('offenbar', 'tornado')",1
"('tornados', 'vermutete')",1
"('gegeben', 'tornados')",1
"('möglicherweise', 'tornados')",1
"('eurofighter', 'tornadoauf')",1
"('fliegerhorst', 'tornadoauf')",1
"('tornado', 'vielen')",1
"('eingesetzten', 'tornado')",1
"('deutschen', 'tornado')",1
"('ersetzt', 'tornado-flotte')",1
"('ersetzen', 'tornado-flotte')",1
"('artikel', 'tornado-nachfolge')",1
"('nachfolge', 'tornados')",1
"('darf', 'tornados')",1
"('f-35', 'tornado-nachfolge')",1
"('raider', 'tornados')",1
"('ohnmacht', 'tornado')",1
"('niederländischen', 'tornado')",1
"('schwachen', 'tornado')",1
"('berichtete', 'tornado')",1
"('kirchendach', 'tornado')",1
"('tornados', 'zurückgekehrt')",1
"('serie', 'tornados')",1
"('katastrophengebiet', 'tornados')",1
"('hätten', 'tornados')",1
"('entstehentornados', 'hurrikane')",1
"('entstehentornados', 'sechs')",1
"('berichtete', 'tornados')",1
"('sechs', 'tornados')",1
"('entstanden', 'tornados')",1
"('nacht', 'tornados')",1
"('reuters', 'tornado')",1
"('schlug', 'tornado')",1
"('kilometer', 'tornado')",1
"('tornado', 'trogorkan')",1
"('hurrikan/taifun', 'tornado')",1
"('bildete', 'tornado')",1
"('stärke', 'tornado')",1
"('marathon', 'tornado')",1
"('beschädigte', 'tornado')",1
"('tornados', 'vier')",1
"('bau', 'tornados')",1
"('katrina', 'tornados')",1
"('acht', 'tornados')",1
"('kleintrombe', 'tornado')",1
"('tornado', 'tropischer')",1
"('bedeutende', 'tornadoereignisse')",1
"('beispiele', 'tornadoereignisse')",1
"('tiefdruckgebieten', 'tornados')",1
"('downbursts', 'tornados')",1
"('sturmarten', 'tornado')",1
"('gelegentlich', 'tornado')",1
"('gewittern', 'tornados')",1
"('führen', 'tornados')",1
"('sturm-typ', 'tornado')",1
"('bedeutungen', 'tornado')",1
"('finden', 'tornado')",1
"('begriffsklärung', 'tornado')",1
"('einfügst', 'tornado')",1
"('spanisch', 'tornado')",1
"('bezeichnung', 'tornado')",1
"('sprachraum', 'tornado')",1
"('land', 'tornado')",1
"('großen', 'tornados')",1
"('nordamerika', 'tornados')",1
"('besteht', 'tornados')",1
"('komplex', 'tornados')",1
"('recht', 'tornadogenese')",1
"('bedingungen', 'tornados')",1
"('ort', 'tornados')",1
"('müssen', 'tornados')",1
"('entwickeln', 'tornados')",1
"('klassen', 'tornados')",1
"('tornados', 'unterscheiden')",1
"('tornados', 'tritt')",1
"('bildung', 'tornados')",1
"('tornados', 'vielfach')",1
"('tornadoentstehung', 'vielfach')",1
"('absenkung', 'tornadoentstehung')",1
"('tornados', 'überwiegend')",1
"('kleinräumig', 'tornados')",1
"('bereich', 'tornados')",1
"('rotierenden', 'tornado')",1
"('tornado', 'weiterer')",1
"('rotierender', 'tornado')",1
"('fällen', 'tornado')",1
"('rotierende', 'tornado')",1
"('bilden', 'tornado')",1
"('nicht-mesozyklonalen', 'tornadotyp')",1
"('tornadotyp', 'zählen')",1
"('tornados', 'weise')",1
"('tornados', 'zeigt')",1
"('kurzlebigen', 'tornados')",1
"('anfangsstadium', 'tornados')",1
"('anfangsstadium', 'tornado')",1
"('tornado', 'zunächst')",1
"('tornado', 'tritt')",1
"('optisch', 'tornado')",1
"('blindtrombe', 'tornado')",1
"('bodenkontakt', 'tornado')",1
"('handelt', 'tornado')",1
"('gestalt', 'tornado')",1
"('kreisen', 'multivortex-tornado')",1
"('bezeichnet', 'multivortex-tornado')",1
"('multivortex-tornado', 'verhindern')",1
"('erkannt', 'multivortex-tornado')",1
"('anhand', 'tornado')",1
"('tornado', 'verursachten')",1
"('bislang', 'tornadostärken')",1
"('realität', 'tornadostärken')",1
"('tornados', 'verfügt')",1
"('anhand', 'tornados')",1
"('kraft', 'tornados')",1
"('tornados', 'vielfältige')",1
"('100', 'tornados')",1
"('stellen', 'tornados')",1
"('prinzipiell', 'tornados')",1
"('431', 'tornado')",1
"('geriet', 'tornado')",1
"('dauer', 'tornados')",1
"('beträgt', 'tornados')",1
"('tornados', 'vorwärtsbewegung')",1
"('folgt', 'tornados')",1
"('dabei', 'tornadospur')",1
"('tornadospur', 'wesentlichen')",1
"('tornado', 'verantwortlich')",1
"('hinterlassen', 'tornado')",1
"('oklahoma', 'tornados')",1
"('oklahoma', 'tornado')",1
"('outbreak', 'tornado')",1
"('fällt', 'tornado')",1
"('rücksicht', 'tornado')",1
"('dominiert', 'tornados')",1
"('geht', 'tornados')",1
"('tagesgang', 'tornados')",1
"('gleicht', 'tornados')",1
"('tornados', 'zeigen')",1
"('tornados', 'weltweit')",1
"('nicht-mesozyklonale', 'tornados')",1
"('1200', 'tornados')",1
"('registriert', 'tornados')",1
"('entlang', 'tornado')",1
"('tornados', 'weit')",1
"('tornadobeobachtungen', 'zahl')",1
"('330', 'tornadobeobachtungen')",1
"('590', 'tornados')",1
"('davon', 'tornados')",1
"('europäischen', 'tornados')",1
"('tornados', 'verheerende')",1
"('selten', 'tornados')",1
"('arbeit', 'tornadoklimatologie')",1
"('europas', 'tornadoklimatologie')",1
"('durchschnittlich', 'tornados')",1
"('tornadoliste.de', 'zahlen')",1
"('tornadoliste.de', 'verfügbar')",1
"('tornados', 'verteilung')",1
"('festzustellen', 'tornadorisiko')",1
"('tornadorisiko', 'westen')",1
"('beobachtet', 'tornados')",1
"('fünf', 'tornados/jahr')",1
"('beobachten', 'tornados/jahr')",1
"('liegen', 'tornados')",1
"('f4-tornado', 'gerechnet')",1
"('f4-tornado', 'österreich')",1
"('höchste', 'tornadodichte')",1
"('dabei', 'tornadodichte')",1
"('drei', 'tornados/10.000')",1
"('km²/jahr', 'tornados/10.000')",1
"('auftreten', 'tornados')",1
"('starken', 'tornados')",1
"('faktoren', 'tornadoentstehung')",1
"('tornadoentstehung', 'zusammenkommen')",1
"('tornados', 'verheerenden')",1
"('europäische', 'tornado')",1
"('schwächeren', 'tornados')",1
"('max', 'tornados')",1
"('aussage', 'tornados')",1
"('grund', 'tornados')",1
"('systematischer', 'tornadoforschung')",1
"('1950er', 'tornadoforschung')",1
"('heftigkeit', 'tornados')",1
"('ipcc-bericht', 'tornados')",1
"('liste', 'tornados')",1
"('19.', 'tornados')",1
"('obwohl', 'tornados')",1
"('naturerscheinung', 'tornadoforschung')",1
"('recht', 'tornadoforschung')",1
"('erfolgreiche', 'tornadovorhersage')",1
"('konnte', 'tornadovorhersage')",1
"('interessanterweise', 'tornadoforschung')",1
"('europa', 'tornadoforschung')",1
"('systematische', 'tornadoforschung')",1
"('ereignisse', 'tornadoforschung')",1
"('interesse', 'tornados')",1
"('folgezeit', 'tornados')",1
"('beispiel', 'tornado')",1
"('pforzheim', 'tornado')",1
"('nahm', 'tornadoforschung')",1
"('deutschsprachigen', 'tornadoforschung')",1
"('brachten', 'tornadoforschung')",1
"('stark', 'tornadoforschung')",1
"('polarimetrische', 'tornado')",1
"('stärke', 'tornados')",1
"('auftretens', 'tornados')",1
"('konzentriert', 'tornados')",1
"('heutige', 'tornadoforschung')",1
"('konzentriert', 'tornadoforschung')",1
"('siehe', 'tornadogenese')",1
"('gewinnen', 'tornados')",1
"('tornadoerscheinungen', 'vergleich')",1
"('gemeinsamkeiten', 'tornadoerscheinungen')",1
"('tornados', 'voraussetzungen')",1
"('besser', 'tornados')",1
"('gesichtete', 'tornados')",1
"('tornados', 'wettergefahren')",1
"('gewitter', 'tornados')",1
"('tornados', 'verfolgen')",1
"('tornadoforschung', 'unwetter-')",1
"('liefern', 'tornadoforschung')",1
"('tornadoopfern', 'zahl')",1
"('erheblich', 'tornadoopfern')",1
"('größe', 'tornados')",1
"('ergeben', 'tornados')",1
"('aufbau', 'tornado-frühwarnzentrums')",1
"('tornado-frühwarnzentrums', 'wegen')",1
"('gehäuften', 'tornadomeldungen')",1
"('erhöhte', 'tornadomeldungen')",1
"('tornados', 'warnung')",1
"('fragestellung', 'tornados')",1
"('radarsystemen', 'tornado')",1
"('erkannt', 'tornado')",1
"('tornados', 'tromben')",1
"('tornados', 'wasserhosen')",1
"('significant', 'tornadoes')",1
"('1860–1991', 'tornadoes')",1
"('estimate', 'tornado')",1
"('occurrence', 'tornado')",1
"('2005', 'tornadoes')",1
"('non-mesocyclone', 'tornadoes')",1
"('tornado', 'twister')",1
"('tornado', 'zorn')",1
"('tag', 'tornado')",1
"('category', 'tornado')",1
"('tornado', 'welt')",1
"('niemand', 'tornado')",1
"('richtete', 'tornado')",1
"('tornados', 'weisen')",1
"('tornados', 'zuglängen')",1
"('blitzschlag', 'tornados')",1
"('massenbewegungen', 'tornados')",1
"('tornados', 'zahl')",1
"('schneise', 'tornado')",1
"('gezählt', 'tornados')",1
"('eingestuft', 'tornados')",1
"('dutzende', 'tornados')",1
"('mehrere', 'tornados')",1
"('arkansas', 'tornados')",1
"('durchzug', 'tornados')",1
"('mensch', 'tornados')",1
"('mitteilten', 'tornados')",1
"('extreme', 'tornados')",1
"('milliardenwerte', 'tornados')",1
"('schwergewittern', 'tornados')",1
"('tornados', 'zahlreichen')",1
"('tornados', 'zerstörte')",1
"('tornados', 'wirbelstürme')",1
"('podcast', 'tornados')",1
"('erzeugen', 'tornados')",1
"('tornados', 'tornados')",1
"('stufe', 'tornados')",1
"('erreichen', 'tornados')",1
"('500', 'tornados')",1
"('starkem', 'tornado')",1
"('reichel', 'tornado')",1
"('möglich', 'tornados')",1
"('bilden', 'tornados')",1
"('sicht', 'tornados')",1
"('orkanböen', 'tornados')",1
"('heftige', 'tornados')",1
"('demnach', 'tornados')",1
"('einsturz', 'hüttetornados')",1
"('hüttetornados', 'lippstadt')",1
"('mutmaßlichen', 'tornado')",1
"('schwere', 'tornado')",1
"('artikel', 'tornados')",1
"('starkregen', 'tornados')",1
"('thema', 'tornados')",1
"('mild', 'tornado')",1
"('tornado', 'verletzte')",1
"('tornado', 'tschechien')",1
