Konzepte;Typ;Synonyme;Wortformen;;;
Naturkatastrophe;intern;ungewöhnliche Naturereignisse, Kataklysmus;Naturkatastrophen, Naturkatastrophe;;;
Art von Naturkatastrophe;intern;Klassifizierung, Type ;Arten von Naturkatastrophen;;;
Geologische;intern;Endogene, tektonische;geologisch, geologischer, geologische, geologisches, Geologie;;;
Erdbeben;intern;Erderschütterung,Erdstöße;Erdbebens, erdbebengefährdet, erdbebensicher;;;
verheerendes Erdbeben;intern;;verheerendem Erdbeben, verheerendes Erdbebens, verheerende Erdbeben;;;
Erdbebenphänomen;intern;Erderschütterungsphänomen;Erdbebenphänomene, Erdbebenphänomenen;;;
Erdbebenschwarm;intern;Schwarmbeben;Erdbebenschwarms;;;
Seismische Aktivität;intern;Erdbebenaktivität;Seismische Aktivitäten, Seismischer, Seismisches, Seismischen;;;
Nachbeben;intern;;Nachbebens, nachbebenartig;;;
Epizentrum;intern;Erdbebenzentrum;Epizentrums, Epizentren, epizentrisch, epizentral;;;
Hauptbeben;intern;Primärbeben;Hauptbebens, hauptbebenartig, hauptbebengefährdet, hauptbebenbedingt;;;
Hypozentrum;intern;Bebenherd, Erdbebenfokus;Hypozentrums, hypozentrisch;;;
Vorbeben;intern;;Vorbebens;;;
Seebeben;intern;;Seebebens;;;
Erdstoß;intern;Beben, Erschütterung;Erdstöße, Erdstoßes, Erdstößen;;;
Erdbebenursche;intern;;Erdbebenursachen;;;
Erdkruste;intern;Erdrinde;;;;
Tiefherdbeben;intern;;Tiefherdbebens;;;
platektonischer Prozess;intern;;platektonisches Prozesses, platektonische Prozesse;;;
Kontinentalplattendrift;intern;Kontinentaldrift, Kontinentalverschiebung;Kontinentalplattendrifts, Plattentektonik;;;
Bewegung von Lithosphärenplatten;intern;;;;;
Spreizungszone;intern;;Spreizungszonen;;;
Subduktion (Plattentektonik);intern;;Subduktionen;;;
Transformverwerfung;intern;;Transformverwerfungen;;;
Verwerfung (Geologie);intern;Sprung, Verschiebung;verwerfen (Gesteinsschichten), Verwerfungen;;;
anthropogenes Erdbeben;intern;;anthropogene, anthropogenem, anthropogenes Erdbeben;;;
Stausee-Erdbeben;intern;;;;;
Sichuan-Erdbeben China 2008;intern;;;;;
Erdbebenfolge;intern;;Erdbebenfolgen;;;
Erdbebenschaden;intern;;Erdbebenschäden, Erdbebenschadens;;;
Gebäudezerstörung durch Erdbeben;intern;;Gebäudezerstörungen;;;
Infrastrukturschaden durch Erdbeben;intern;;Infrastrukturschäden durch Erdbeben;;;
witschaftliche Schaden;intern;;witschaftliche Schäden;;;
Erdbebenopfer;intern;Erdbebenbetroffene;Erdbebenopfern,Erdbebenopfers, Erdbebenopfer;;;
Erdbebensuche;intern;;Erdbebensuchen;;;
Anzahl Erdbebenbetroffenen;intern;;Erdbebenbetroffene, Erdbebenbetroffenen, Erdbebenbetroffener, Erdbebenbetroffenes, Erdbebenbetroffenem;;;
Erdbeben-Tote;intern;Verstorbene, Leiche;Erdbebentotes, Erdbebentoten, Erdbebentotem, Erdbebentoter;;;
Verletzte in Syrien;intern;Verwundete;Verletzter,Verletztem, Verletzten, Verletztes;;;
Vermisste im Erdbebengebiet;intern;;Vermisster, Vermisstes, Vermissten, Vermisstem;;;
Erdbebenforschung;intern;Seismologie;Erdbebenforschungen, forschen;;;
Erdbebenmessung;intern;;Erdbebenmessungen;;;
Seismograph;intern;Seismometer;Seismograf, Seismografen, seismographisch;;;
Erdbebenwelle;intern;;Erdbebenwellen;;;
P-Welle (Seismische Welle);intern;Primärwellen;P-Wellen;;;
S-Welle ( (Seismische Welle);intern;Sekundärwellen ;S-Wellen;;;
Oberflächenwelle (Seismische Welle);intern;;Oberflächenwellen;;;
Erdbebenstärke;intern;Richterskala ;erdbebenstark;;;
Intensität;intern;Stärke, Größe, Tiefe;Intensitäten, intensiv;;;
Mercalliskala;intern;;Mercalliskalas, Mercalliskalen;;;
MSK-Skala (EMS-Skala);intern;;;;;
Magnitude;intern;;Magnituden;;;
Richterskala;intern;;Richterskalas, Richterskalen;;;
Moment-Magnituden-Skala;intern;;Moment-Magnituden-Skalas;;;
Erdbebengefährdung;intern;;Erdbebengefährdungen;;;
Risiko;exterm;Gefahr;Risikos, Risiken;;;
Erdbebengebiet;intern;Erdbebenrisikozone;Erdbebengebieten, Erdbebengebiets;;;
Erdbeben in Türkein;intern;;;;;
Erdbeben in Syrien;intern;;;;;
Erdbeben im Indischen Ozean 2004;intern;;;;;
Seebeben vor Java Juli 2006;intern;;;;;
Großes Alaska-Beben;intern;Karfreitagsbeben 1964;;;;
Erdbebenschutzmaßnahme;intern;;Erdbebenschutzmaßnahmen;;;
EU-Satellitensystem Copernicus;intern;;Satellitensystems, Satellitensystemen;;;
bauen erdbebensicheres Gebäude;intern;;erdbebensichere Gebäude, erdbebensicheren Gebäude, erdbebensicherem Gebäude, erdbebensicheres Gebäudes;;;
Bauvorschrift für erdbebensicheres/erdbebenreches Bauen;intern;;Bauvorschrifte für erdbebensicheres/erdbebenreches Bauen;;;
Erdbeben-Monitoring-Dienst;intern;;Erdbeben-Monitoring-Dienste, Erdbeben-Monitoring-Dienstes;;;
Vulkanausbruch;intern;Eruption , Vulkanaktivität;Vulkanausbrüche, Vulkanausbruches, Vulkanausbruchs, Vulkanausbrüchen;;;
Beruhigung der Lage: Prognose;exteren;;;;;
Entleerung des Magma-Kraters;intern;;Entleerung des Magma-Kraters;;;
Schlotverschließung;intern;;Schlotverschließungen;;;
Vulkanphänomen;intern;;Vulkanphänomene;;;
Vulkankrater;intern;Caldera, Erdabsturz, Erdfalltrichter;Kratern, Kraters;;;
Magma;intern;Lavafluss ,Lavastrom, Lava;Magmen,  magmatisch, Magmas;;;
Eruption;intern;Ausbruch, Vulkanausbruch;Eruptionen;;;
strombolianische Eruption;intern;;strombolianischer Eruption, strombolianischen Eruptionen;;;
plinianische Eruption;intern;;plinianischer Eruption, plinianischen Eruptionen;;;
Eruptionssäule;intern;;Eruptionssäulen;;;
vulkanische Bombe;intern;;vulkanische Bomben, vulkanischer Bombe, vulkanischen Bomben;;;
von Vulkan ausgelöstes Ereignis;intern;;von Vulkan ausgelöste Ereignisse;;;
Lahar ;intern;Schlamm- und Schuttströme;Lahars;;;
pyroklastischer Strom;intern;Glühlawine;pyroklastische Ströme, pyroklastisches Stroms, pyroklastischem Strom, pyroklastischen Strömen;;;
Gletscher;intern;;Gletschers, Gletschern, glet_scher_ar_tig;;;
Gerölllawine;intern;Schuttlawine;Gerölllawine;;;
Vulkantyp;intern;;Vulkantyps, Vulkantypen;;;
Schichtvulkan;intern;;Schichtvulkans, Schichtvulkane, Schichtvulkanen;;;
Schildvulkan;intern;;Schildvulkans, Schildvulkane, Schildvulkanen;;;
komplexer Vulkan;intern;;komplexes Vulkans, komplexem Vulkan, komplexen Vulkan;;;
Schlackenkegel;intern;;Schlackenkegels;;;
Spaltenvulkan;intern;;Spaltenvulkans, Spaltenvulkane;;;
Kraterreihe;intern;;Kraterreihen;;;
Maar;intern;;Maares, Maars,Maare, Maaren;;;
submariner Vulkan;intern;;submarine Vulkane, submarines Vulkanes;;;
Vulkanfeld;intern;;Vulkanfeldes, Vulkanfelder;;;
Vorhersage von Vulkanausbruch;intern;;Vorhersagev von Vulkanausbrüchen;;;
Aufzeichnung seismischer Aktivität ;intern;vulkanischer Tremor;Aufzeichnungen seismischer Aktivität ;;;
Geodätische Überwachung;intern;;Geodätische Überwachungen, geodätischen Überwachungen;;;
Messung gravimetrischer und magnetometrischer Veränderung;intern;;Messungen gravimetrischer und magnetometrischer Veränderungen;;;
Erfassung von Temperaturerhöhungen;extern;;Erfassungen von Temperaturerhöhungen;;;
Betroffenes Gebiet;intern;;Betroffene Gebiete;;;
Indonesien überzogen von Vulkanen (Hauptinsel Java);intern;;;;;
Vulkanausbruch auf La Palma;intern;;Vulkanausbrüche auf La Palma;;;
Tsunami;intern;;Tsunamis;;;
Abfolge besonders langer Wasserwellen;intern;;Abfolgen besonders langer Wasserwellen;;;
Tsunamiursache;intern;;Tsunamiursachen;;;
unterseeisches Erdbeben;intern;;unterseeische Erdbeben, unterseeischen Erdbeben;;;
Hineinrutschen großer Erd- und Gesteinsmassen ins Wasser;intern;;;;;
künstlich hervorgerufene Explosion;intern;;künstlich hervorgerufenen Explosionen;;;
Einschlag eines Himmelskörpers;intern;;Einschläge eines Himmelskörpers;;;
Tsunamigefahrenzone;intern;;Tsunamigefahrenzonen;;;
Erdbeben im Indischen Ozean 2004;intern;;;;;
Seebeben vor Java Juli 2006;intern;;;;;
Tsunamischutz;intern;;Tsunami-Schutzes;;;
Frühwarnsystem im Japan;intern;;Frühwarnsysteme im Japan, Frühwarnsystemen im Japan;;;
Malaysian National Tsunami Early Warning System (MNTEWS);intern;;;;;
Meteorologische;intern;;meteorologischer, meteorologisches, meteorologischen, meteorologischem;;;
Hurrikan;intern;Taifun, Tornado;"Hurrikanen, Hurrikans, Hurrikane, hurrikanartig, hurrikangefährdet, hurrikangeplagt, hurrikangeschädigt, hurrikansicher;";;;
Hurrikanfolge;intern;;Hurrikanfolgen;;;
Sturmflut;intern;;Sturmfluten;;;
Windbruch;intern;Sturmholz, Windwurf;Windbrüche;;;
Küstenerosion;intern;geologische Abrasion;;;;
Hurrikaneigenschaft;intern;;Hurrikaneigenschaften;;;
Wirbelsturm;intern;Hurrikan, Taifun, tropischer Sturm, Zyklon;Zyklon(Meteorologie);;;
Zyklon;intern;Großtrombe;Zyklone, Zyklonen;;;
im Indischen Ozean und Südpazifik;intern;;;;;
hohe Windgeschwindigkeit;extern;;Hurrikanzentrums, Hurrikanzentren;;;
Hurrikanzentrum;intern;;;;;
Tornado;intern;Wind-/Wasserhose Großtrombe;Tornados;;;
Mesozyklonaler Tornado;intern;;Mesozyklonalen Tornado, mesozyklonalem Tornado;;;
Mesozyklon;intern;;Mesozyklone, Mesozyklonen;;;
Sturzregen;intern;Platzregen;;;;
Gewitterfallböe;intern;;Gewitterfallböe;;;
Nicht-mesozyklonaler Tornado;intern;;Nicht-mesozyklonale Tornados;;;
Tornadoursache;intern;;Tornadoursachen;;;
Superzelle;intern;mehrere Gewitterzellen;Superzellen;;;
Tornadofolge;intern;;Tornadofolgen;;;
umgestürzter Baum;extern;;umgestürzte Bäume, umgestürzten Bäumen;;;
abgerissene Stromleitung;extern;;abgerissene Stromleitungen, abgerissenen Stromleitungen;;;
Tornado in Alabama;intern;;Tornados in Alabama;;;
Tornadoerkennung;intern;Tornadomerkmale;;;;
Luftwirbel;intern;;;;;
rotierende Luftmasse;extern;;rotierender Luftmasse, rotierende Luftmassen;;;
Fujita-Skala;intern;;;;;
TORRO-Skala;intern;;;;;
Dürre ;intern;Trockenheit, verursacht durch Hitze;dürr, Dürren;;;
Dürreereignis;intern;;Dürreereignisse;;;
Dürreperiode;intern;Trockenperiode;Dürreperioden;;;
Dürrejahr;intern;;Dürrejahre, Dürrejahren;;;
Dürresommer;intern;;Dürresommers;;;
Dürremonitor;intern;;Dürremonitore, Dürremonitoren;;;
Dürre-Notstand;intern;;;;;
Dürregefahr;intern;Trockenheitsrisiko;;;;
Dürresituation;intern;;Dürresituationen;;;
Dürreproblem;intern;;Dürreprobleme;;;
Dürreszenario;intern;;;;;
dürrebedingt;intern;;dürrebedingte, dürrebedingtes, dürrebedingten, dürrebedingter;;;
Typologie von Dürreereignissen;intern;;;;;
meteorologische Dürre;intern;;meteorologischer Dürre, meteorologische Dürren;;;
hydrologische Dürre;intern;;hydrologische Dürren, hydrologischer Dürre;;;
landwirtschaftliche Dürre;intern;;landwirtschaftlicher Dürre, landwirtschaftliche Dürren;;;
sozio-ökonomische Dürre;intern;;sozio-ökonomische Dürren, sozio-ökonomischer Dürre;;;
Palmer-Dürre-Index;intern;;;;;
Dürrenschaden ;intern;Folgen von Dürren;Dürrenschäden;;;
geringere Ernten, hohe Preise für geernteten Güter ;intern;;;;;
Engpässe in der Stromversorgung;intern;;;;;
Bodenerosion;intern;;;;;
schlimmste Dürre des Jahrtausends, Deutschland, 1540;intern;;schlimmster Dürre des Jahrtausends, Deutschland, 1540;;;
schneearmer Winter;intern;;schneearm, schneearmes, schneearmen;;;
Waldbrand ;intern;Flurbrand, Vegetationsbrand;Waldbrände;;;
Waldbrandgefahr;intern;;Waldbrandgefahren;;;
Waldbrandgefahrenstufe;intern;Waldbrandgefahrenindex;Waldbrandgefahrenstufen;;;
Waldbrandstatistik;intern;;Waldbrandstatistiken;;;
Waldbrand-Beobachtungssystem;intern;Waldbrandüberwachungsflüge;Waldbrand-Beobachtungssysteme;;;
Waldbrandüberwachungsflug;intern;;Waldbrandüberwachungsflüge;;;
Waldbrandjahr;intern;;Waldbrandjahre, Waldbrandjahren;;;
Waldbrandausrüstung;intern;;;;;
Waldbrandbekämpfung;intern;;;;;
Hydrologische;intern;;Hydrologischer, Hydrologisches, Hydrologischen, Hydrologischem;;;
Lawine;intern;;Lawinen;;;
Lawinenauslöser;intern;Lawinenauslösung;;;;
Schwachschicht;intern;;Schwachschichten;;;
Schneebrett;intern;;Schneebretts, Schneebrettes, Schneebretter, Schneebrette, Schneebrettern;;;
menschliche Aktivität;extern;;meschliche Aktivitäten;;;
Schneeschuhwanderer;intern;;;;;
Gleitschneelawine;intern;;Gleitschneelawine;;;
Lockerschneelawine;intern;;Lockerschneelawinen;;;
Schneedecke;intern;Schneeschicht;;;;
großer Temperaturuntteschied;extern;;große Temperaturuntteschiede;;;
Schneekörner;intern;;;;;
Schneekristall;intern;;Schneekristalle, Schneekristallen, Schneekristalls;;;
vereiste Rutschfläche;intern;;vereiste Rutschflächen;;;
Schneeprofil;intern;Ramm-/Schichtprofil (RSP);;;;
Sicherheitausrüstung für Skitouren;intern;;;;;
Lawinenairbag;intern;Luftkissen;Lawinenairbags;;;
Lawinenschaufel;intern;;Lawinenschaufeln;;;
Lawinensond;intern;;Lawinensonde;;;
Lawinenverschüttetensuchgerät (LVS);intern;;Lawinenverschüttetensuchgeräte (LVS);;;
Lawinen-Rucksack;intern;;Lawinen-Rucksäcke;;;
Lawinendienst;intern;;Lawinendienste;;;
Rettungskraft;intern;Bergwache;Rettungskräfte;;;
Lawinenrettungsgruppe;intern;;Lawinenrettungsgruppen;;;
Lawinenopfer;intern;;Lawinenopfern,Lawinenopfer;;;
Verschüttete;intern;;Verschüttete, Verschütteter, Verschüttetes, Verschüttetem, Verschütteten;;;
Todesopfer nach Lawinenunglück;intern;;;;;
Erfrorene;intern;;Erfrorene, Erfrorener, Erfrorenes, Erfrorenem, Erfrorenen;;;
Lawinengefahr;intern;;;;;
